media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
65.527,35.361,58.962,89.879,24.667,29.525,32.111,187.205,medio
53.762,29.42,49.735,70.949,26.208,34.276,39.267,165.951,medio
54.826,29.802,50.799,72.261,26.545,35.076,40.351,165.951,medio
55.108,29.374,50.963,73.049,25.406,33.482,38.415,165.951,medio
50.409,26.076,45.97,68.419,24.552,33.281,38.778,167.673,medio
51.71,27.632,47.127,69.895,25.553,34.037,39.445,167.673,medio
46.853,23.364,42.5,64.36,22.154,30.364,36.137,167.673,medio
52.015,25.851,47.57,70.718,23.542,32.685,38.171,167.673,medio
51.408,25.386,46.716,70.53,23.221,31.333,36.692,167.673,medio
67.427,33.14,61.63,91.846,23.355,29.36,33.5,188.477,claro
65.031,31.3,59.45,88.799,22.236,26.702,29.031,188.477,claro
67.67,33.181,62.278,91.345,23.285,27.717,30.552,188.477,claro
65.321,32.57,59.529,89.142,23.506,30.332,34.241,187.749,claro
64.798,32.413,58.877,88.746,22.31,27.593,30.507,187.749,claro
63.883,32.46,58.133,87.137,23.258,28.95,32.438,187.749,claro
67.663,33.778,61.872,91.931,22.278,27.931,31.663,187.749,claro
64.64,31.686,58.846,88.562,22.502,28.602,32.29,187.749,claro
55.493,26.713,51.182,74.913,24.361,34.528,40.148,166.569,claro
63.337,30.888,58.684,84.819,27.09,37.817,43.462,166.569,claro
67.489,33.877,62.812,89.475,27.492,38.575,44.58,166.569,claro
58.556,27.548,54.086,79.143,25.055,35.519,40.804,166.569,claro
61.862,29.972,57.297,82.963,26.612,37.276,42.992,167.663,claro
59.866,28.749,55.413,80.465,27.186,39.072,45.511,167.663,claro
61.476,28.242,57.002,82.904,25.763,36.191,41.42,167.663,claro
78.891,39.565,72.697,106.019,25.487,32.252,36.404,189.351,claro
80.486,40.157,74.432,107.705,25.042,31.343,35.462,189.351,claro
80.278,40.34,74.087,107.635,25.011,31.333,35.529,189.351,claro
76.409,37.07,69.913,104.119,24.959,31.86,36.222,189.351,claro
69.297,32.016,64.323,93.278,28.798,40.846,47.091,166.457,claro
65.776,28.865,60.75,89.707,25.564,37.78,43.738,166.457,claro
72.09,32.435,66.803,97.571,26.599,37.917,43.071,166.457,claro
68.805,31.103,63.659,93.282,26.86,38.737,44.658,166.457,claro
30.102,26.084,26.39,38.852,15.936,17.005,21.183,163.66,escuro
29.687,25.177,26.5,37.583,14.925,16.071,20.144,163.66,escuro
31.208,26.527,27.986,39.244,18.232,19.561,23.975,163.66,escuro
30.689,26.19,27.394,38.806,17.598,18.984,23.399,163.66,escuro
29.382,25.364,26.332,36.822,16.476,17.785,21.639,163.66,escuro
25.49,24.207,23.125,30.573,16.983,17.984,21.789,170.716,escuro
24.47,23.333,22.525,28.685,16.891,17.88,21.437,170.716,escuro
24.96,24.233,23.146,28.766,16.875,17.625,20.586,170.716,escuro
25.705,23.387,23.249,31.379,16.795,17.836,22.003,170.716,escuro
25.039,24.241,23.121,29.063,18.047,18.578,21.04,170.716,escuro
25.334,23.482,23.116,30.364,16.689,17.65,21.126,170.716,escuro
25.464,23.396,23.225,30.62,15.854,17.019,21.196,170.716,escuro
25.813,24.029,23.494,31.021,17.276,18.215,21.964,170.716,escuro
36.519,27.553,31.928,48.894,16.557,19.501,25.691,171.124,escuro
36.545,27.11,31.915,49.184,17.092,20.876,27.699,171.124,escuro
34.147,25.043,29.651,46.396,14.589,17.776,24.423,171.124,escuro
36.614,26.457,31.807,49.864,15.953,19.66,26.407,171.124,escuro
36.162,27.119,31.616,48.483,14.906,17.805,23.738,171.124,escuro
38.835,27.854,33.569,53.317,17.365,20.792,27.567,169.738,escuro
37.514,26.54,32.414,51.658,16.189,20.066,26.847,169.738,escuro
40.916,28.29,35.381,56.555,17.282,21.173,28.363,169.738,escuro
39.696,27.588,34.324,54.822,17.401,20.892,27.49,169.738,escuro
38.536,27.053,33.377,53.004,16.377,20.448,27.498,169.738,escuro
39.993,28.054,34.685,54.927,17.453,21.004,27.076,169.738,escuro
49.218,30.408,42.788,68.998,18.719,24.748,31.932,170.261,medio
48.778,30.13,42.214,68.751,18.06,24.245,32.002,170.261,medio
49.11,30.293,42.514,69.205,18.385,24.109,31.492,170.261,medio
46.574,29.231,40.295,65.49,17.885,23.463,31.156,170.261,medio
47.145,29.031,40.733,66.614,17.52,23.353,31.178,170.261,medio
50.326,31.189,43.763,70.478,20.831,27.298,34.635,170.261,medio
50.185,31.055,43.51,70.56,18.396,24.27,31.855,170.261,medio
50.08,30.898,43.51,70.257,19.118,26.354,34.614,170.261,medio
49.556,30.689,43.012,69.583,18.293,24.498,32.304,170.261,medio
47.47,29.038,40.847,67.468,17.595,23.577,31.416,170.261,medio
58.826,33.856,51.297,83.1,21.418,29.214,35.95,170.609,medio
56.331,32.539,48.832,80.104,20.854,28.437,35.441,170.609,medio
55.92,32.345,48.506,79.428,21.038,29.318,37.325,170.609,medio
55.007,32.107,47.909,77.65,20.827,28.649,36.192,170.609,medio
55.256,31.898,47.881,78.613,20.147,27.796,35.609,170.609,medio
56.112,32.723,48.89,79.189,21.068,28.892,36.141,170.609,medio
56.155,32.926,48.731,79.559,21.0,28.52,35.568,170.609,medio
57.379,33.803,50.156,80.522,21.191,29.35,36.244,170.609,medio
57.413,32.91,50.081,81.122,20.972,28.816,36.081,170.609,medio
65.569,34.855,57.781,92.525,21.434,30.379,36.533,171.469,claro
65.283,35.563,58.128,90.627,21.934,31.214,37.361,171.469,claro
65.863,35.512,58.583,91.693,21.855,31.254,37.688,171.469,claro
65.068,35.357,57.885,90.46,22.039,31.57,37.749,171.469,claro
63.608,34.599,56.279,89.022,21.385,30.558,36.834,171.469,claro
66.164,35.879,58.776,92.185,22.277,31.431,37.375,171.469,claro
64.345,34.562,57.22,89.653,21.963,31.948,39.05,171.469,claro
61.726,34.305,54.576,86.186,22.35,31.734,38.473,171.469,claro
65.381,35.43,58.178,90.906,22.073,31.285,37.545,171.469,claro
65.364,35.809,58.262,90.538,22.591,32.159,38.529,171.469,claro
62.782,34.313,55.678,87.558,21.898,31.069,37.428,168.964,claro
64.712,34.57,57.124,91.061,21.984,31.146,37.669,168.964,claro
64.073,34.615,56.596,89.948,21.84,30.884,37.377,168.964,claro
61.78,33.17,54.621,86.711,21.964,31.569,38.657,168.964,claro
63.477,33.736,56.311,88.85,21.89,31.567,38.316,168.964,claro
63.4,33.794,55.855,89.464,22.065,31.272,37.9,168.964,claro
61.389,33.204,54.016,86.576,21.97,31.344,38.628,168.964,claro
60.757,32.009,53.253,86.419,20.923,29.94,36.765,168.964,claro
63.704,34.638,56.241,89.401,22.83,31.667,37.748,168.964,claro
61.454,32.968,54.136,86.645,20.946,30.075,37.122,168.964,claro
